Date,Activity Type,Title,Distance,Calories,Total Time,Avg HR,Max HR,Avg Speed,Total Ascent,Total Descent,Steps,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Speed Removed,Resting Heart Rate,stress
2024-02-06,Resort Skiing,Les Gets Resort Skiing,37.78,2785.0,0 days 07:34:49,115.0,191.0,,863.0,863.0,0.0,0 days 00:09:48,17,0 days 03:30:59,0 days 07:34:55,1119,1982,True,60,36
2024-02-07,Resort Skiing,Morzine Resort Skiing,12.73,699.0,0 days 01:50:48,110.0,170.0,,751.0,751.0,0.0,0 days 00:00:15.700000,5,0 days 01:11:45,0 days 02:29:15,1511,2262,True,62,40
2024-02-07,Resort Skiing,Champéry Resort Skiing,19.04,1110.0,0 days 03:00:32,115.0,171.0,,1259.0,1259.0,0.0,0 days 00:13:16,8,0 days 01:47:25,0 days 03:00:42,978,2237,True,62,40
2024-02-08,Resort Skiing,Les Gets Resort Skiing,44.29,2264.0,0 days 06:52:52,106.0,162.0,,1253.0,1253.0,0.0,0 days 00:06:54.900000,18,0 days 04:18:07,0 days 07:29:02,968,2221,True,62,40
2024-02-09,Resort Skiing,Les Gets Resort Skiing,9.49,1198.0,0 days 03:44:05,103.0,156.0,,942.0,942.0,0.0,0 days 00:25:41,5,0 days 01:28:25,0 days 03:52:06,1164,1621,True,62,40
2024-02-10,Resort Skiing,Les Gets Resort Skiing,3.01,213.0,0 days 00:42:08,97.0,130.0,,4.0,4.0,0.0,0 days 00:42:08,1,0 days 00:25:08,0 days 00:42:12,1162,1610,True,62,40
2024-02-28,Cardio,Cardio,0.0,129.0,0 days 00:10:00,142.0,157.0,,0.0,0.0,282.0,0 days 00:10:00,1,0 days 00:00:00,0 days 00:10:00,85,85,True,58,40
2024-02-29,Cardio,Cardio,0.0,500.0,0 days 00:43:41,143.0,176.0,,0.0,0.0,421.0,0 days 00:43:41,1,0 days 00:00:00,0 days 00:43:41,85,85,True,58,40
2024-03-01,Cardio,Cardio,0.0,88.0,0 days 00:10:04,118.0,153.0,,0.0,0.0,46.0,0 days 00:10:04,1,0 days 00:00:00,0 days 00:10:05,85,85,True,58,40
2024-03-04,Cardio,Cardio,0.0,959.0,0 days 02:27:27,119.0,149.0,,0.0,0.0,421.0,0 days 02:27:27,1,0 days 00:00:00,0 days 02:27:27,85,85,True,58,40
2024-03-06,Cardio,Cardio,0.0,726.0,0 days 02:18:17,104.0,136.0,,0.0,0.0,421.0,0 days 02:18:17,1,0 days 00:00:00,0 days 02:18:17,85,85,True,58,35
2024-03-11,Cardio,Cardio,0.0,180.0,0 days 00:28:34,104.0,162.0,,0.0,0.0,421.0,0 days 00:28:34,1,0 days 00:00:00,0 days 00:28:34,85,85,True,58,35
2024-03-13,Cardio,Cardio,0.0,254.0,0 days 00:20:52,140.0,165.0,,0.0,0.0,421.0,0 days 00:20:52,1,0 days 00:00:00,0 days 00:20:52,85,85,True,61,37
2024-03-20,Resort Skiing,Pen-Y-Bont Ar Ogwr Resort Skiing,4.34,682.0,0 days 01:09:30,134.0,169.0,,79.0,79.0,0.0,0 days 00:01:03,35,0 days 00:34:05,0 days 01:09:42,85,164,True,59,35
2024-03-31,Cardio,Cardio,0.0,1038.0,0 days 01:48:09,136.0,190.0,,0.0,0.0,421.0,0 days 01:48:09,1,0 days 00:00:00,0 days 01:48:09,85,85,True,58,31
2024-04-23,Cardio,Bristol Cardio,1.5,197.0,0 days 00:17:52,134.0,173.0,,32.0,32.0,421.0,0 days 00:17:52,1,0 days 00:16:22,0 days 00:17:52,16,36,True,58,37
2024-04-23,Cardio,Bristol Cardio,2.51,203.0,0 days 00:17:13,136.0,168.0,,9.0,9.0,421.0,0 days 00:17:13,1,0 days 00:15:36,0 days 00:17:13,10,44,True,58,37
2024-05-03,Cardio,Taunton Deane Cardio,2.5,354.0,0 days 00:35:53,130.0,156.0,,25.0,25.0,421.0,0 days 00:35:53,1,0 days 00:32:17,0 days 00:35:53,28,47,True,58,32
2024-05-06,Cardio,North Somerset Cardio,5.17,324.0,0 days 01:04:59,97.0,138.0,,75.0,75.0,421.0,0 days 01:04:59,1,0 days 00:23:01,0 days 01:04:59,17,131,True,58,32
2024-05-09,Cardio,Bristol Cardio,1.99,257.0,0 days 00:40:12,106.0,193.0,,22.0,22.0,421.0,0 days 00:40:12,1,0 days 00:21:24,0 days 00:40:12,25,46,True,60,37
2024-05-13,Cardio,Bristol Cardio,2.31,232.0,0 days 00:35:53,107.0,170.0,,24.0,24.0,421.0,0 days 00:35:53,1,0 days 00:22:41,0 days 00:35:53,17,42,True,60,37
2024-05-14,Cardio,Bristol Cardio,1.97,232.0,0 days 00:21:27,134.0,187.0,,29.0,29.0,421.0,0 days 00:21:27,1,0 days 00:20:32,0 days 00:21:27,22,42,True,60,37
2024-09-08,Cardio,Cardio,0.0,147.0,0 days 00:13:52,128.0,166.0,,0.0,0.0,398.0,0 days 00:13:52,1,0 days 00:00:00,0 days 00:13:52,85,71,True,58,36
2024-09-10,Cardio,Cardio,0.0,183.0,0 days 00:14:56,141.0,183.0,,0.0,0.0,308.0,0 days 00:14:56,1,0 days 00:00:00,0 days 00:14:57,85,35,True,58,36
2024-09-18,Cardio,Cardio,0.0,225.0,0 days 00:20:42,133.0,181.0,,0.0,0.0,364.0,0 days 00:20:42,1,0 days 00:00:00,0 days 00:20:42,85,8,True,58,41
2024-09-20,Cardio,Cardio,0.0,244.0,0 days 00:19:22,144.0,183.0,,0.0,0.0,308.0,0 days 00:19:22,1,0 days 00:00:00,0 days 00:19:22,85,85,True,58,41
2024-09-24,Cardio,Cardio,0.0,331.0,0 days 00:21:23,166.0,199.0,,0.0,0.0,254.0,0 days 00:21:23,1,0 days 00:00:00,0 days 00:21:23,85,77,True,58,41
2024-09-27,Cardio,Cardio,0.0,314.0,0 days 00:22:01,156.0,181.0,,0.0,0.0,502.0,0 days 00:22:01,1,0 days 00:00:00,0 days 00:22:01,85,120,True,58,37
